product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,gross_profit,profit_margin_pct,stock_to_sales_ratio,abc_class,obsolescence_score,risk_tier
cosmetics,SKU44,51.36,34,919,7152.29,Female,13,19,72,6,Carrier C,7.58,Supplier 2,Delhi,7,834,18,22.55,Fail,2.96,Rail,Route A,610.45,6511.71,91.04,0.01,A,0.381,Medium Risk
haircare,SKU45,33.78,1,24,5267.96,Male,93,7,52,6,Carrier B,5.22,Supplier 2,Chennai,25,794,25,66.31,Pass,3.22,Rail,Route A,495.31,4701.12,89.24,3.88,B,0.695,High Risk
haircare,SKU46,27.08,75,859,2556.77,Non-binary,92,29,6,8,Carrier B,4.07,Supplier 3,Chennai,18,870,23,77.32,Pending,3.65,Road,Route B,380.44,2094.94,81.94,0.11,B,0.336,Medium Risk
skincare,SKU47,95.71,93,910,7089.47,Male,4,15,51,9,Carrier B,8.98,Supplier 1,Kolkata,10,964,20,19.71,Pending,0.38,Rail,Route A,581.6,6479.18,91.39,0.0,A,0.122,Low Risk
haircare,SKU48,76.04,28,29,7397.07,Non-binary,30,16,9,3,Carrier C,7.1,Supplier 2,Mumbai,9,109,18,23.13,Fail,1.7,Rail,Route B,768.65,6598.19,89.2,1.03,A,0.435,Medium Risk
cosmetics,SKU49,78.9,19,99,8001.61,Unknown,97,24,9,6,Carrier C,2.51,Supplier 5,Delhi,28,177,28,14.15,Pass,2.83,Rail,Route A,336.89,7648.06,95.58,0.98,A,0.298,Low Risk
cosmetics,SKU50,14.2,91,633,5910.89,Female,31,23,82,10,Carrier A,6.25,Supplier 2,Delhi,20,306,21,45.18,Fail,4.75,Rail,Route B,496.25,5363.21,90.73,0.05,A,0.495,Medium Risk
haircare,SKU51,26.7,61,154,9866.47,Male,100,4,52,1,Carrier A,4.78,Supplier 5,Bangalore,18,673,28,14.19,Pending,1.77,Road,Route A,694.98,9152.52,92.76,0.65,A,0.29,Low Risk
skincare,SKU52,98.03,1,820,9435.76,Male,64,11,11,1,Carrier B,8.63,Supplier 1,Mumbai,10,727,27,9.17,Pending,2.12,Air,Route C,602.9,8815.06,93.42,0.08,A,0.238,Low Risk
skincare,SKU53,30.34,93,242,8232.33,Male,96,25,54,3,Carrier B,1.01,Supplier 1,Delhi,1,631,17,83.34,Pending,1.41,Air,Route B,750.74,7397.24,89.86,0.4,A,0.236,Low Risk
haircare,SKU54,31.15,11,622,6088.02,Non-binary,33,22,61,3,Carrier B,4.31,Supplier 1,Kolkata,26,497,29,30.19,Pass,2.48,Road,Route B,814.07,5239.45,86.06,0.05,A,0.156,Low Risk
haircare,SKU55,79.86,16,701,2925.68,Male,97,11,11,5,Carrier A,5.01,Supplier 2,Delhi,27,918,5,30.32,Fail,4.55,Sea,Route B,323.01,2567.34,87.75,0.14,B,0.494,Medium Risk
skincare,SKU56,20.99,90,93,4767.02,Non-binary,25,23,83,5,Carrier C,1.77,Supplier 1,Mumbai,24,826,28,12.84,Pass,1.17,Air,Route B,832.21,3920.2,82.24,0.27,B,0.105,Low Risk
haircare,SKU57,49.26,65,227,1605.87,Unknown,5,18,51,1,Carrier B,9.16,Supplier 2,Delhi,21,588,25,67.78,Pending,2.51,Rail,Route A,482.19,1046.74,65.18,0.02,C,0.254,Low Risk
skincare,SKU58,59.84,81,896,2021.15,Non-binary,10,5,44,7,Carrier A,4.94,Supplier 3,Delhi,18,396,7,65.05,Fail,1.73,Road,Route B,110.36,1840.8,91.08,0.01,C,0.306,Low Risk
cosmetics,SKU59,63.83,30,484,1061.62,Non-binary,100,16,26,7,Carrier B,7.29,Supplier 1,Kolkata,11,176,4,1.9,Fail,0.45,Air,Route A,312.57,739.86,69.69,0.21,C,0.253,Low Risk
skincare,SKU60,17.03,16,380,8864.08,Female,41,27,72,8,Carrier C,4.38,Supplier 4,Mumbai,29,929,24,87.21,Fail,2.85,Rail,Route A,430.17,8342.32,94.11,0.11,A,0.387,Medium Risk
haircare,SKU61,52.03,23,117,6885.59,Unknown,32,23,36,7,Carrier C,9.03,Supplier 4,Kolkata,14,480,12,78.7,Fail,4.37,Air,Route A,164.37,6633.49,96.34,0.27,A,0.5,Medium Risk
cosmetics,SKU62,72.8,89,270,3899.75,Unknown,86,2,40,7,Carrier C,7.29,Supplier 2,Mumbai,13,751,14,21.05,Pass,1.87,Sea,Route C,320.85,3550.56,91.05,0.32,B,0.154,Low Risk
skincare,SKU63,13.02,55,246,4256.95,Non-binary,54,19,10,4,Carrier A,2.46,Supplier 3,Bangalore,18,736,10,20.08,Pending,3.63,Sea,Route A,687.29,3547.12,83.33,0.22,B,0.348,Medium Risk
skincare,SKU64,89.63,11,134,8458.73,Female,73,27,75,6,Carrier C,4.59,Supplier 1,Delhi,17,328,6,8.69,Fail,0.16,Air,Route C,771.23,7674.22,90.73,0.54,A,0.278,Low Risk
skincare,SKU65,33.7,72,457,8354.58,Male,57,24,54,8,Carrier C,6.58,Supplier 5,Kolkata,16,358,21,1.6,Fail,4.91,Rail,Route C,555.86,7790.54,93.25,0.12,A,0.514,Medium Risk
skincare,SKU66,26.03,52,704,8367.72,Female,13,17,19,8,Carrier A,2.22,Supplier 5,Kolkata,24,867,28,42.08,Fail,3.45,Road,Route A,393.84,7929.58,94.76,0.02,A,0.412,Medium Risk
skincare,SKU67,87.76,16,513,9473.8,Unknown,12,9,71,9,Carrier C,9.15,Supplier 1,Mumbai,10,198,11,7.06,Pass,0.13,Sea,Route C,169.27,9288.32,98.04,0.02,A,0.009,Low Risk
haircare,SKU68,37.93,29,163,3550.22,Non-binary,0,8,58,8,Carrier B,1.19,Supplier 2,Bangalore,2,375,18,97.11,Fail,1.98,Rail,Route A,299.71,3152.21,88.79,0.0,B,0.32,Low Risk
skincare,SKU69,54.87,62,511,1752.38,Non-binary,95,1,27,3,Carrier B,9.71,Supplier 4,Kolkata,9,862,7,77.63,Pending,1.36,Air,Route A,207.66,1457.38,83.17,0.19,C,0.206,Low Risk
haircare,SKU70,47.91,90,32,7014.89,Female,10,12,22,4,Carrier B,6.32,Supplier 1,Bangalore,22,775,16,11.44,Pass,1.83,Road,Route C,183.27,6813.86,97.13,0.31,A,0.15,Low Risk
cosmetics,SKU71,6.38,14,637,8180.34,Female,76,2,26,6,Carrier A,9.23,Supplier 2,Bangalore,2,258,10,30.66,Pending,2.08,Road,Route A,405.17,7735.28,94.56,0.12,A,0.241,Low Risk
cosmetics,SKU72,90.2,88,478,2633.12,Non-binary,57,29,77,9,Carrier A,6.6,Supplier 1,Bangalore,21,152,11,55.76,Pending,3.21,Rail,Route B,677.94,1892.82,71.89,0.12,C,0.31,Low Risk
cosmetics,SKU73,83.85,41,375,7910.89,Male,17,25,66,5,Carrier B,1.51,Supplier 4,Chennai,13,444,4,46.87,Fail,4.62,Road,Route A,866.47,6996.04,88.44,0.05,A,0.487,Medium Risk
haircare,SKU74,3.17,64,904,5709.95,Female,41,6,1,5,Carrier A,5.24,Supplier 4,Delhi,1,919,9,80.58,Fail,0.4,Rail,Route A,341.55,5282.58,92.52,0.05,A,0.23,Low Risk
skincare,SKU75,93.0,29,106,1889.07,Non-binary,16,20,56,10,Carrier C,2.47,Supplier 1,Chennai,25,759,11,48.06,Pass,2.03,Air,Route C,873.13,965.41,51.11,0.15,C,0.142,Low Risk
haircare,SKU76,69.11,23,241,5328.38,Male,38,1,22,10,Carrier A,7.05,Supplier 2,Bangalore,25,985,24,64.32,Pending,2.18,Rail,Route A,997.41,4259.6,79.94,0.16,B,0.252,Low Risk
haircare,SKU77,57.45,14,359,2483.76,Unknown,96,28,57,4,Carrier B,6.78,Supplier 1,Kolkata,26,334,5,42.95,Pass,3.06,Road,Route B,852.57,1581.46,63.67,0.27,C,0.22,Low Risk
haircare,SKU78,6.31,50,946,1292.46,Unknown,5,4,51,5,Carrier B,8.47,Supplier 5,Mumbai,25,858,21,71.13,Pending,4.1,Sea,Route C,323.59,889.27,68.8,0.01,C,0.35,Medium Risk
haircare,SKU79,57.06,56,198,7888.72,Non-binary,31,25,20,1,Carrier B,6.5,Supplier 3,Bangalore,5,228,12,57.87,Pending,0.17,Air,Route C,351.5,7472.85,94.73,0.16,A,0.13,Low Risk
skincare,SKU80,91.13,75,872,8651.67,Unknown,39,14,41,2,Carrier C,2.83,Supplier 3,Chennai,8,202,5,76.96,Fail,2.85,Sea,Route B,787.78,7784.1,89.97,0.04,A,0.378,Medium Risk
haircare,SKU81,72.82,9,774,4384.41,Unknown,48,6,8,5,Carrier B,4.07,Supplier 3,Delhi,28,698,1,19.79,Pending,2.55,Rail,Route B,276.78,4083.77,93.14,0.06,B,0.262,Low Risk
skincare,SKU82,17.03,13,336,2943.38,Unknown,42,19,72,1,Carrier A,4.71,Supplier 2,Mumbai,6,955,26,4.47,Pending,4.14,Road,Route C,589.98,2344.22,79.64,0.12,B,0.367,Medium Risk
haircare,SKU83,68.91,82,663,2411.75,Unknown,65,24,7,8,Carrier B,4.95,Supplier 1,Bangalore,20,443,5,97.73,Fail,0.77,Road,Route A,682.97,1626.1,67.42,0.1,C,0.259,Low Risk
haircare,SKU84,89.1,99,618,2048.29,Unknown,73,26,80,10,Carrier A,8.38,Supplier 5,Chennai,24,589,22,33.81,Pass,4.84,Air,Route B,465.46,1540.64,75.22,0.12,C,0.309,Low Risk
cosmetics,SKU85,76.96,83,25,8684.61,Female,15,18,66,2,Carrier C,8.25,Supplier 5,Chennai,4,211,2,69.93,Fail,1.37,Road,Route B,842.69,7763.74,89.4,0.6,A,0.36,Medium Risk
skincare,SKU86,20.0,18,223,1229.59,Unknown,32,14,22,6,Carrier B,1.45,Supplier 1,Mumbai,4,569,18,74.61,Pass,2.05,Rail,Route A,264.25,889.28,72.32,0.14,C,0.142,Low Risk
haircare,SKU87,80.41,24,79,5133.85,Male,5,7,55,10,Carrier A,6.58,Supplier 3,Chennai,27,523,17,28.7,Fail,3.69,Sea,Route B,879.36,4219.21,82.18,0.06,B,0.432,Medium Risk
cosmetics,SKU88,75.27,58,737,9444.74,Male,60,18,85,7,Carrier A,3.8,Supplier 2,Mumbai,21,953,11,68.18,Pending,0.72,Sea,Route A,103.92,9268.84,98.14,0.08,A,0.153,Low Risk
cosmetics,SKU89,97.76,10,134,5924.68,Unknown,90,1,27,8,Carrier B,9.93,Supplier 1,Kolkata,23,370,11,46.6,Pending,1.91,Rail,Route B,517.5,5350.65,90.31,0.67,A,0.302,Low Risk
skincare,SKU90,13.88,56,320,9592.63,Non-binary,66,18,96,7,Carrier B,7.67,Supplier 3,Bangalore,8,585,8,85.68,Pass,1.22,Rail,Route B,990.08,8509.2,88.71,0.21,A,0.1,Low Risk
cosmetics,SKU91,62.11,90,916,1935.21,Male,98,22,85,7,Carrier B,7.47,Supplier 4,Delhi,5,207,28,39.77,Pending,0.63,Rail,Route B,996.78,891.19,46.05,0.11,C,0.151,Low Risk
cosmetics,SKU92,47.71,44,276,2100.13,Male,90,25,10,8,Carrier B,4.47,Supplier 2,Mumbai,4,671,29,62.61,Pass,0.33,Rail,Route B,230.09,1802.96,85.85,0.33,C,0.061,Low Risk
haircare,SKU93,69.29,88,114,4531.4,Unknown,63,17,66,1,Carrier C,7.01,Supplier 4,Chennai,21,824,20,35.63,Fail,4.17,Air,Route A,823.52,3665.24,80.89,0.55,B,0.524,Medium Risk
cosmetics,SKU94,3.04,97,987,7888.36,Unknown,77,26,72,9,Carrier B,6.94,Supplier 2,Delhi,12,908,14,60.39,Pass,1.46,Rail,Route B,846.67,6974.36,88.41,0.08,A,0.098,Low Risk
haircare,SKU95,77.9,65,672,7386.36,Unknown,15,14,26,9,Carrier B,8.63,Supplier 4,Mumbai,18,450,26,58.89,Pending,1.21,Air,Route A,778.86,6539.98,88.54,0.02,A,0.175,Low Risk
cosmetics,SKU96,24.42,29,324,7698.42,Non-binary,67,2,32,3,Carrier C,5.35,Supplier 3,Mumbai,28,648,28,17.8,Pending,3.87,Road,Route A,188.74,7486.53,97.25,0.21,A,0.362,Medium Risk
haircare,SKU97,3.53,56,62,4370.92,Male,46,19,4,9,Carrier A,7.9,Supplier 4,Mumbai,10,535,13,65.77,Fail,3.38,Road,Route A,540.13,3757.12,85.96,0.74,B,0.5,Medium Risk
skincare,SKU98,19.75,43,913,8525.95,Female,53,1,27,7,Carrier B,1.41,Supplier 5,Chennai,28,581,9,5.6,Pending,2.91,Rail,Route A,882.2,7636.74,89.57,0.06,A,0.284,Low Risk
haircare,SKU99,68.52,17,627,9185.19,Unknown,55,8,59,6,Carrier B,1.31,Supplier 2,Chennai,29,921,2,38.07,Fail,0.35,Rail,Route B,210.74,8935.07,97.28,0.09,A,0.232,Low Risk
